,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1.5345209263449968e-07,3.3964411952250053e-07,4.846819044877172e-07,5.084171263311305e-07,5.013917252963342e-07,5.107897833611859e-07,6.016571064500909e-07,7.306018470548988e-07,8.237862200107106e-07,7.584944684707643e-07,5.43951403045256e-07,3.79917305485808e-07,4.3093006768928866e-07,6.537524809160677e-07,9.405692334718614e-07,9.711280096421094e-07,7.814120318828894e-07,7.729593430146983e-07,9.438289684660794e-07,9.591173641921585e-07,7.779213877118719e-07,5.684679506294828e-07,4.745790409811793e-07,4.7115209165657716e-07,3.24239102107455e-07
1,3.5942672631741603e-07,6.793623389648142e-07,9.227265756358668e-07,1.0115121237646812e-06,1.0425717382640305e-06,1.0522359848861093e-06,1.1033772817722562e-06,1.1715136246645454e-06,1.2958108298332049e-06,1.2981111725324707e-06,1.0623744020972568e-06,8.859957406226313e-07,9.83133683182879e-07,1.230122150070626e-06,1.527513071047781e-06,1.49724109849354e-06,1.2034663211226573e-06,1.239727280521454e-06,1.584724664676948e-06,1.7322710208160453e-06,1.455389246972697e-06,1.0984334180441995e-06,9.032714473281529e-07,8.037802057368417e-07,5.452631732337838e-07
2,5.040275200748171e-07,8.655415387179268e-07,1.1936375074451962e-06,1.4119136053310682e-06,1.477096434091179e-06,1.4622969712009578e-06,1.4036128834577083e-06,1.3419074458034474e-06,1.4594370221765013e-06,1.520343826137975e-06,1.367580871850832e-06,1.3189313197093814e-06,1.5129687615927348e-06,1.6617541341225947e-06,1.7445020867263447e-06,1.6270951994464326e-06,1.3907152287642717e-06,1.476662618825093e-06,1.7744054426671536e-06,1.955291003890478e-06,1.7081277467438057e-06,1.3205498005557196e-06,1.0914250090017587e-06,9.572139904398185e-07,6.364279280537027e-07
3,5.186910087713641e-07,9.68252269323845e-07,1.414178404034215e-06,1.6598846173149732e-06,1.680354136248976e-06,1.6763142332058646e-06,1.567447893366694e-06,1.435331764174864e-06,1.4805952846521263e-06,1.5377842958256968e-06,1.5032850636964171e-06,1.55447785999694e-06,1.7685967133945134e-06,1.8451979862054095e-06,1.7888490953484393e-06,1.5677478559491372e-06,1.4170371113699738e-06,1.561391341332959e-06,1.663335499396191e-06,1.7594622701564936e-06,1.6578553020823762e-06,1.34349201802831e-06,1.157498952596729e-06,1.0114793275936848e-06,6.005303554873793e-07
4,6.163401102776122e-07,1.2766098446256165e-06,1.7913228493551572e-06,1.8529403278441007e-06,1.7196523566921119e-06,1.7363850321326826e-06,1.7339510112421685e-06,1.6708447306712361e-06,1.629066624378658e-06,1.6205804959950707e-06,1.622624220902897e-06,1.661577018526571e-06,1.7350398320860085e-06,1.7113890843467302e-06,1.6405304195757047e-06,1.3681475061505136e-06,1.2988329623645135e-06,1.6074001098504869e-06,1.666929490493771e-06,1.6269748810464452e-06,1.6084569404780669e-06,1.483072640351731e-06,1.457077717247746e-06,1.2026874137539168e-06,5.793430128560101e-07
5,7.898536535311987e-07,1.5171026037952416e-06,1.9690591693167136e-06,1.9062848005813856e-06,1.671544082611145e-06,1.6777701363834816e-06,1.8354937018518347e-06,1.9553514702278378e-06,1.9027976309298708e-06,1.7351473709747554e-06,1.6050208249953313e-06,1.577700156247279e-06,1.5075410883835108e-06,1.3597425210306654e-06,1.2535880065237843e-06,1.0442156324650997e-06,1.1410587470335734e-06,1.6398587808157255e-06,1.7682583606400238e-06,1.692622520870741e-06,1.704758316776738e-06,1.6837191269629994e-06,1.7311339503417076e-06,1.4126317402650563e-06,6.587639159636095e-07
6,7.943262225809326e-07,1.453270436255443e-06,1.8651146239861934e-06,1.8738352524729842e-06,1.6678814145446188e-06,1.6645499970659734e-06,1.8233180770108846e-06,2.048654874462122e-06,2.199109993336263e-06,2.0319085966521305e-06,1.718772536303743e-06,1.5754512122323749e-06,1.4130743163587266e-06,1.2265434381228427e-06,1.1086201287401533e-06,9.66855708211821e-07,1.0673892624201323e-06,1.477061695124062e-06,1.7052349982676682e-06,1.8022736281683986e-06,1.8448629403651118e-06,1.7679307706795172e-06,1.6699685305111955e-06,1.3645149960202077e-06,7.16197530551748e-07
7,6.937799173181964e-07,1.334263753351649e-06,1.7913968349126537e-06,1.9581463992660973e-06,1.8590240767786289e-06,1.8492260362309277e-06,1.940354599411206e-06,2.1388758256353914e-06,2.456690344518128e-06,2.3884032250998614e-06,1.893246000615774e-06,1.5842920296291375e-06,1.4524280979473168e-06,1.3499246140679616e-06,1.309054289729468e-06,1.2351957721886962e-06,1.1490117254699074e-06,1.2612457802768357e-06,1.5648260458887046e-06,1.8168510591680517e-06,1.8224769082002083e-06,1.7415477389892114e-06,1.6285519619192108e-06,1.3118190397370381e-06,7.237499676730722e-07
8,7.018160775663564e-07,1.3534025135844766e-06,1.8659978382471684e-06,2.16825894478833e-06,2.123605020589249e-06,2.0091150634498334e-06,2.041875323460818e-06,2.2079106969350027e-06,2.4475539942780172e-06,2.3830799909273814e-06,1.8900299567619065e-06,1.4788487533594408e-06,1.3808759682949397e-06,1.4653358645988062e-06,1.637365496858523e-06,1.6857005620701614e-06,1.481146336976869e-06,1.3148066878341743e-06,1.4493243192248236e-06,1.6391264298855776e-06,1.6102112731346242e-06,1.6728672658687285e-06,1.8049841151650467e-06,1.4527088501434565e-06,7.339116448832039e-07
9,8.326959391289456e-07,1.4931837006227385e-06,1.9566236357489003e-06,2.2050697723918378e-06,2.153820838062966e-06,2.0169192601996856e-06,1.9852952604508227e-06,2.0566071036324685e-06,2.1550554487095613e-06,2.1553891303095824e-06,1.864298659948702e-06,1.4519178202438554e-06,1.329372204228087e-06,1.6463065860113996e-06,2.0478724610121683e-06,2.0628689054641397e-06,1.7183679616026492e-06,1.4681779846384138e-06,1.4426881933472075e-06,1.4374500699473482e-06,1.3227854513832804e-06,1.45564685056409e-06,1.743770385533775e-06,1.3934979708696857e-06,6.286236496976497e-07
